,,,,,,
,XAU Curncy,,,,,
,Date,OPEN,HIGH,LOW,LAST_PRICE,Centered Weighted Moving Average
,8/30/17,1309.23,1313.78,1305.28,1308.6,1320.33285714286
,8/31/17,1308.59,1323.7,1298.46,1321.43,1326.69464285714
,9/1/17,1321.43,1328.91,1316.52,1325.23,1329.95678571429
,9/4/17,1336.39,1339.81,1331.89,1333.87,1336.10857142857
,9/5/17,1335.27,1344.44,1326.27,1339.71,1340.17464285714
,9/6/17,1339.95,1342.55,1331.75,1334.22,1338.12142857143
,9/7/17,1334.31,1349.98,1332.61,1349.22,1336.9175
,9/8/17,1349.22,1357.61,1342.88,1346.59,1333.11857142857
,9/11/17,1337.67,1340.01,1326.47,1327.54,1331.57285714286
,9/12/17,1327.54,1332.19,1322.71,1331.81,1327.99321428571
,9/13/17,1331.81,1337.18,1320.95,1322.37,1321.73
,9/14/17,1323.21,1330.82,1315.8,1329.74,1317.88642857143
,9/15/17,1329.74,1334.42,1319.56,1320.18,1312.79607142857
,9/18/17,1319.64,1320.14,1304.71,1307.44,1306.175
,9/19/17,1307.44,1311.8,1305.26,1311.15,1302.52928571429
,9/20/17,1311.15,1316.13,1296.14,1301.1,1303.14892857143
,9/21/17,1301.09,1301.75,1288.2,1291.2,1300.24571428571
,9/22/17,1291.2,1298.79,1289.79,1297.3,1295.47821428571
,9/25/17,1298.05,1312.21,1289.62,1310.78,1292.72142857143
,9/26/17,1310.79,1313.74,1292.33,1293.98,1288.92892857143
,9/27/17,1293.98,1296.25,1281.56,1282.78,1283.74392857143
,9/28/17,1282.78,1288.87,1277.83,1287.3,1279.40821428571
,9/29/17,1287.29,1290.38,1276.16,1279.75,1276.78571428571
,10/2/17,1279.86,1280.34,1269.77,1271.13,1273.78892857143
,10/3/17,1271.13,1274.76,1268.41,1271.66,1273.82714285714
,10/4/17,1271.66,1282.29,1269.01,1274.85,1275.92571428571
,10/5/17,1274.85,1279.07,1266.64,1268.22,1279.13535714286
,10/6/17,1268.46,1276.87,1260.67,1276.68,1282.97178571429
,10/9/17,1276.42,1285.52,1275.38,1284.05,1286.57285714286
,10/10/17,1284.05,1294.31,1282.2,1288.03,1291.91107142857
,10/11/17,1288.03,1293.62,1284.67,1291.72,1294.20714285714
,10/12/17,1291.72,1297.54,1289.75,1293.72,1292.85107142857
,10/13/17,1293.72,1303.93,1291.24,1303.82,1290.18357142857
,10/16/17,1303.38,1306.11,1290.6,1295.79,1289.88464285714
,10/17/17,1295.81,1297.17,1281.49,1285.12,1287.09571428571
,10/18/17,1285.12,1288.95,1277.04,1281.08,1285.15857142857
,10/19/17,1281.08,1290.73,1276.51,1290.13,1282.20785714286
,10/20/17,1290.13,1291.17,1278.05,1280.47,1280.4675
,10/23/17,1279.55,1283.4,1272.61,1282.27,1276.74428571429
,10/24/17,1282.41,1283.73,1273.81,1276.58,1275.25857142857
,10/25/17,1276.58,1280.1,1271.09,1277.53,1274.78392857143
,10/26/17,1277.53,1282.62,1265.85,1266.99,1273.59357142857
,10/27/17,1266.99,1274.7,1263.85,1273.35,1273.52785714286
,10/30/17,1273.14,1278.93,1269.05,1276.29,1274.10142857143
,10/31/17,1276.29,1278.23,1267.78,1271.45,1273.13607142857
,11/1/17,1271.45,1280.98,1268.05,1274.66,1275.45285714286
,11/2/17,1274.66,1284.23,1273.17,1276.13,1275.57285714286
,11/3/17,1276,1280.08,1265.6,1269.91,1277.13821428571
,11/6/17,1270.06,1283.04,1266.15,1281.95,1279.45
,11/7/17,1281.95,1282.22,1271.95,1275.3,1278.77535714286
,11/8/17,1275.3,1287.31,1275.03,1281.36,1278.89607142857
,11/9/17,1281.36,1288.52,1279.76,1285.07,1279.42392857143
,11/10/17,1285.07,1287.15,1273.5,1275.07,1279.055
,11/13/17,1274.93,1279.82,1274.33,1278.31,1278.93214285714
,11/14/17,1278.31,1283.67,1270.1,1280.25,1282.15214285714
,11/15/17,1280.25,1289.61,1276.8,1278.14,1281.10214285714
,11/16/17,1278.14,1281.82,1275.22,1278.58,1281.26571428571
,11/17/17,1278.58,1297.05,1278.38,1292.42,1284.10892857143
,11/20/17,1294.24,1294.88,1274.6,1276.92,1286.29642857143
,11/21/17,1276.92,1284.79,1276.32,1280.61,1287.30821428571
,11/22/17,1280.61,1294.75,1279.15,1292.12,1289.49214285714
,11/23/17,1292.12,1293.64,1287.1,1291.47,1290.97178571429
,11/24/17,1291.47,1293.31,1285.74,1288.37,1289.81071428571
,11/27/17,1288.65,1299.29,1286.83,1294.52,1286.25214285714
,11/28/17,1294.52,1297.48,1290.76,1293.98,1284.29607142857
,11/29/17,1293.99,1296.76,1282.12,1283.64,1281.64071428571
,11/30/17,1283.64,1285.36,1270.42,1275.01,1276.92892857143
,12/1/17,1275.01,1289.35,1271.71,1280.62,1272.42428571429
,12/4/17,1280.4,1280.4,1271.19,1276.18,1264.99464285714
,12/5/17,1276.18,1277.15,1261.04,1265.77,1259.5525
,12/6/17,1265.77,1269.34,1262.61,1263.37,1253.74821428571
,12/7/17,1263.37,1264.59,1244.02,1247.22,1249.73964285714
,12/8/17,1247.22,1252.45,1244.11,1248.49,1249.77392857143
,12/11/17,1247.76,1251.61,1240.81,1242.02,1249.91178571429
,12/12/17,1242.02,1246.29,1236.55,1244.49,1251.37714285714
,12/13/17,1244.49,1257.18,1240.37,1255.5,1254.545
,12/14/17,1255.44,1259.16,1250.55,1252.96,1257.03571428571
,12/15/17,1252.93,1261.87,1249.06,1256.44,1260.02214285714
,12/18/17,1255.01,1264.05,1252.82,1262.26,1262.425
,12/19/17,1262.26,1265.34,1259.3,1261.7,1265.92821428571
,12/20/17,1261.7,1267.98,1261.45,1265.57,1271
,12/21/17,1265.55,1269.06,1262.89,1266.6,1276.01535714286
,12/22/17,1266.6,1276.29,1265.07,1274.16,1281.89785714286
,12/26/17,1275.19,1284.48,1273.54,1283.1,1288.54964285714
,12/27/17,1283.07,1289.07,1281.39,1287.18,1297.42357142857
,12/28/17,1287.18,1295.25,1286.74,1295.04,1303.35321428571
,12/29/17,1295.04,1307.66,1293.87,1302.8,1310.06821428571
,1/2/18,1303.45,1319.01,1302.59,1317.56,1314.18357142857
,1/3/18,1317.56,1321.56,1307.6,1313.21,1317.19821428571
,1/4/18,1313.21,1326.07,1305.98,1323.01,1317.13892857143
,1/5/18,1323.01,1323.47,1313.77,1319.59,1317.45357142857
,1/8/18,1319.59,1322.2,1314.91,1320.4,1318.6525
,1/9/18,1320.4,1320.75,1308.97,1312.85,1323.47714285714
,1/10/18,1312.85,1327.77,1308.33,1316.89,1328.01678571429
,1/11/18,1316.87,1324.02,1315.79,1322.44,1331.555
,1/12/18,1322.44,1339.42,1321.67,1337.64,1331.52857142857
,1/15/18,1336.84,1344.81,1336.09,1339.99,1331.31964285714
,1/16/18,1339.99,1342.36,1331.97,1338.41,forecast
,1/17/18,1338.42,1344.05,1326.2,1326.84,forecast
,1/18/18,1326.84,1333.18,1324.33,1327.03,forecast
,,,,,,
,,,,,,
,,,,,,
,,,,,,
