,,,,,,
,Start Date,1/25/00,,,,
,End Date,,,,,
,,,,,,
,SPX Index,,,,,
,Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,
,9/12/29,31.17,31.17,31.17,31.17,31.5142857142857
,9/13/29,31.38,31.38,31.38,31.38,31.5660714285714
,9/16/29,31.86,31.86,31.86,31.86,31.63
,9/17/29,31.6,31.6,31.6,31.6,31.5864285714286
,9/18/29,31.68,31.68,31.68,31.68,31.5453571428571
,9/19/29,31.73,31.73,31.73,31.73,31.3517857142857
,9/20/29,31.39,31.39,31.39,31.39,31.1914285714286
,9/23/29,31.38,31.38,31.38,31.38,31.1371428571429
,9/24/29,30.8,30.8,30.8,30.8,30.8846428571429
,9/25/29,30.85,30.85,30.85,30.85,30.655
,9/26/29,31.13,31.13,31.13,31.13,30.4364285714286
,9/27/29,30.27,30.27,30.27,30.27,30.3232142857143
,9/30/29,30.16,30.16,30.16,30.16,29.9396428571429
,10/1/29,29.98,29.98,29.98,29.98,29.5471428571429
,10/2/29,30.2,30.2,30.2,30.2,29.6807142857143
,10/3/29,28.95,28.95,28.95,28.95,29.8139285714286
,10/4/29,28.65,28.65,28.65,28.65,29.9271428571429
,10/7/29,30.44,30.44,30.44,30.44,30.1714285714286
,10/8/29,30.34,30.34,30.34,30.34,30.3735714285714
,10/9/29,30.27,30.27,30.27,30.27,30.5032142857143
,10/10/29,30.81,30.81,30.81,30.81,30.5132142857143
,10/11/29,30.76,30.76,30.76,30.76,30.1992857142857
,10/14/29,30.55,30.55,30.55,30.55,30.0407142857143
