Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
20/07/2004,1564.33,1576.09,1563.89,1573.06,1580.1003571429
21/07/2004,1573.06,1582.45,1571.92,1581.79,1581.7035714286
22/07/2004,1582.16,1590.59,1582.16,1583.34,1579.5471428572
25/07/2004,1593.56,1594.81,1585.63,1588.71,1575.0625
26/07/2004,1588.84,1591.08,1581.83,1583.08,1567.7607142857
27/07/2004,1583.85,1585.68,1569.91,1569.91,1558.6078571429
28/07/2004,1571.23,1571.99,1558.66,1560.77,1551.0553571429
29/07/2004,1557.48,1560.28,1546.47,1548.03,1544.8182142857
01/08/2004,1536.43,1537.95,1524.44,1537.05,1541.7364285714
02/08/2004,1536.95,1540.82,1533.5,1537.06,1540.5510714286
03/08/2004,1537.25,1538.59,1529.54,1535.71,1541.1892857143
04/08/2004,1535.71,1540.95,1532.61,1540.76,1545.9475
05/08/2004,1541.41,1549.48,1535.75,1542.3,1548.1942857143
08/08/2004,1543.6,1550.29,1543.6,1545.65,1549.9553571429
09/08/2004,1546.96,1561.99,1546.96,1559.97,1549.7485714286
10/08/2004,1559.97,1562.85,1551.63,1551.63,1550.9442857143
11/08/2004,1553.49,1557.99,1549.71,1551.77,1550.2075
12/08/2004,1549.8,1551.12,1545.65,1546,1548.7489285714
15/08/2004,1549.67,1557.48,1549.67,1553.08,1545.9517857143
16/08/2004,1552.84,1555.47,1546.45,1547.11,1544.4475
17/08/2004,1546.45,1549.29,1544.91,1544.91,1546.0082142857
18/08/2004,1544.66,1544.66,1539.15,1539.45,1549.1192857143
19/08/2004,1539.2,1543.38,1533.29,1541.69,1552.6942857143
22/08/2004,1541.42,1553.51,1541.42,1552.53,1558.0167857143
23/08/2004,1553.19,1560.02,1553.19,1558.84,1563.7232142857
24/08/2004,1559.22,1562.78,1555.62,1562.53,1569.4189285714
25/08/2004,1563.19,1570.91,1563.19,1570.87,1574.8403571429
26/08/2004,1571.12,1576.04,1571.12,1575.8,1581.9864285714
29/08/2004,1581.23,1589.22,1578.81,1580.17,1587.82
30/08/2004,1582.14,1586.07,1580.3,1584.89,1593.7771428572
31/08/2004,1584.34,1600.17,1583.68,1597.96,1596.5710714286
01/09/2004,1597.96,1601.39,1596.32,1599.2,1600.8075
02/09/2004,1599.57,1606.79,1598.44,1605.46,1605.4782142857
05/09/2004,1600.39,1603.13,1597.29,1598.94,1610.3567857143
06/09/2004,1599.31,1611.47,1599.12,1608.72,1615.3360714286
