Date,OPEN,HIGH,LOW,LAST_PRICE,CMA
19/12/75 00:00,1.2366,1.2366,1.2366,1.2366,1.2376392857
22/12/75 00:00,1.2375,1.2375,1.2375,1.2375,1.237475
23/12/75 00:00,1.2389,1.2389,1.2389,1.2389,1.2370785714
24/12/75 00:00,1.2404,1.2404,1.2404,1.2404,1.2367071429
29/12/75 00:00,1.2355,1.2355,1.2355,1.2355,1.2363321429
30/12/75 00:00,1.2352,1.2352,1.2352,1.2352,1.2377428571
31/12/75 00:00,1.2356,1.2356,1.2356,1.2356,1.2390714286
02/01/76 00:00,1.2356,1.2356,1.2356,1.2356,1.2404535714
05/01/76 00:00,1.2426,1.2426,1.2426,1.2426,1.2415142857
06/01/76 00:00,1.243,1.243,1.243,1.243,1.2417321429
07/01/76 00:00,1.2438,1.2438,1.2438,1.2438,1.2416785714
08/01/76 00:00,1.243,1.243,1.243,1.243,1.2408035714
09/01/76 00:00,1.2407,1.2407,1.2407,1.2407,1.24045
12/01/76 00:00,1.2404,1.2404,1.2404,1.2404,1.2400821429
13/01/76 00:00,1.2378,1.2378,1.2378,1.2378,1.2395535714
14/01/76 00:00,1.2402,1.2402,1.2402,1.2402,1.2393321429
15/01/76 00:00,1.2398,1.2398,1.2398,1.2398,1.2386964286
16/01/76 00:00,1.2387,1.2387,1.2387,1.2387,1.2362678571
19/01/76 00:00,1.2392,1.2392,1.2392,1.2392,1.2326857143
20/01/76 00:00,1.237,1.237,1.237,1.237,1.2301535714
21/01/76 00:00,1.2293,1.2293,1.2293,1.2293,1.2285321429
22/01/76 00:00,1.2231,1.2231,1.2231,1.2231,1.2273785714
23/01/76 00:00,1.2252,1.2252,1.2252,1.2252,1.2263535714
26/01/76 00:00,1.2267,1.2267,1.2267,1.2267,1.2254428571
27/01/76 00:00,1.2267,1.2267,1.2267,1.2267,1.2246964286
28/01/76 00:00,1.2255,1.2255,1.2255,1.2255,1.2253071429
29/01/76 00:00,1.224,1.224,1.224,1.224,1.2251678571
30/01/76 00:00,1.2228,1.2228,1.2228,1.2228,1.2259392857
02/02/76 00:00,1.2273,1.2273,1.2273,1.2273,1.2264714286
03/02/76 00:00,1.2249,1.2249,1.2249,1.2249,1.2265642857
04/02/76 00:00,1.2285,1.2285,1.2285,1.2285,1.2253071429
05/02/76 00:00,1.2278,1.2278,1.2278,1.2278,1.2241857143
06/02/76 00:00,1.2262,1.2262,1.2262,1.2262,1.2240535714
09/02/76 00:00,1.2209,1.2209,1.2209,1.2209,1.2236142857
10/02/76 00:00,1.221,1.221,1.221,1.221,1.2224892857
11/02/76 00:00,1.2247,1.2247,1.2247,1.2247,1.2210642857
12/02/76 00:00,1.2231,1.2231,1.2231,1.2231,1.219125
13/02/76 00:00,1.2201,1.2201,1.2201,1.2201,1.2183142857
16/02/76 00:00,1.2177,1.2177,1.2177,1.2177,1.2178178571
17/02/76 00:00,1.2142,1.2142,1.2142,1.2142,1.2165642857
18/02/76 00:00,1.217,1.217,1.217,1.217,1.2152357143
19/02/76 00:00,1.2177,1.2177,1.2177,1.2177,1.2143642857
20/02/76 00:00,1.2142,1.2142,1.2142,1.2142,1.2137571429
23/02/76 00:00,1.2124,1.2124,1.2124,1.2124,1.2136535714
24/02/76 00:00,1.2127,1.2127,1.2127,1.2127,1.2132321429
25/02/76 00:00,1.2127,1.2127,1.2127,1.2127,1.2117142857
26/02/76 00:00,1.214,1.214,1.214,1.214,1.2100285714
27/02/76 00:00,1.2127,1.2127,1.2127,1.2127,1.20885
01/03/76 00:00,1.2077,1.2077,1.2077,1.2077,1.2069857143
02/03/76 00:00,1.2056,1.2056,1.2056,1.2056,1.205325
03/03/76 00:00,1.2064,1.2064,1.2064,1.2064,1.2043642857
04/03/76 00:00,1.2028,1.2028,1.2028,1.2028,1.2035785714
05/03/76 00:00,1.2022,1.2022,1.2022,1.2022,1.20245
08/03/76 00:00,1.2035,1.2035,1.2035,1.2035,1.20075
09/03/76 00:00,1.2027,1.2027,1.2027,1.2027,1.199075
10/03/76 00:00,1.1999,1.1999,1.1999,1.1999,1.1958964286
11/03/76 00:00,1.1965,1.1965,1.1965,1.1965,1.1917321429
12/03/76 00:00,1.1953,1.1953,1.1953,1.1953,1.1880535714
15/03/76 00:00,1.1877,1.1877,1.1877,1.1877,1.1857678571
16/03/76 00:00,1.1816,1.1816,1.1816,1.1816,1.1851642857
17/03/76 00:00,1.1806,1.1806,1.1806,1.1806,1.1854535714
18/03/76 00:00,1.1829,1.1829,1.1829,1.1829,1.1856785714
19/03/76 00:00,1.1868,1.1868,1.1868,1.1868,1.1863714286
22/03/76 00:00,1.1885,1.1885,1.1885,1.1885,1.1872107143
23/03/76 00:00,1.1871,1.1871,1.1871,1.1871,1.1872571429
24/03/76 00:00,1.1878,1.1878,1.1878,1.1878,1.1870035714
25/03/76 00:00,1.1884,1.1884,1.1884,1.1884,1.1878214286
26/03/76 00:00,1.1862,1.1862,1.1862,1.1862,1.1885321429
29/03/76 00:00,1.1858,1.1858,1.1858,1.1858,1.1897178571
30/03/76 00:00,1.1905,1.1905,1.1905,1.1905,1.189225
31/03/76 00:00,1.1906,1.1906,1.1906,1.1906,1.1890142857
01/04/76 00:00,1.1928,1.1928,1.1928,1.1928,1.1887714286
02/04/76 00:00,1.1869,1.1869,1.1869,1.1869,1.187825
05/04/76 00:00,1.1879,1.1879,1.1879,1.1879,1.1872285714
06/04/76 00:00,1.1877,1.1877,1.1877,1.1877,1.1859035714
07/04/76 00:00,1.1851,1.1851,1.1851,1.1851,1.1834785714
08/04/76 00:00,1.1864,1.1864,1.1864,1.1864,1.1820285714
09/04/76 00:00,1.1829,1.1829,1.1829,1.1829,1.1822571429
12/04/76 00:00,1.1774,1.1774,1.1774,1.1774,1.182225
13/04/76 00:00,1.1791,1.1791,1.1791,1.1791,1.1825535714
14/04/76 00:00,1.1847,1.1847,1.1847,1.1847,1.1827214286
15/04/76 00:00,1.1832,1.1832,1.1832,1.1832,1.1824785714
20/04/76 00:00,1.184,1.184,1.184,1.184,1.182075
21/04/76 00:00,1.1832,1.1832,1.1832,1.1832,1.1816464286
22/04/76 00:00,1.1811,1.1811,1.1811,1.1811,1.1810678571
23/04/76 00:00,1.1802,1.1802,1.1802,1.1802,1.1807535714
26/04/76 00:00,1.1805,1.1805,1.1805,1.1805,1.1806357143
27/04/76 00:00,1.1801,1.1801,1.1801,1.1801,1.1803535714
28/04/76 00:00,1.1805,1.1805,1.1805,1.1805,1.1801928571
29/04/76 00:00,1.1809,1.1809,1.1809,1.1809,1.1792535714
30/04/76 00:00,1.1798,1.1798,1.1798,1.1798,1.1782214286
03/05/76 00:00,1.1798,1.1798,1.1798,1.1798,1.1794392857
04/05/76 00:00,1.1765,1.1765,1.1765,1.1765,1.1813964286
05/05/76 00:00,1.1756,1.1756,1.1756,1.1756,1.1839571429
06/05/76 00:00,1.1839,1.1839,1.1839,1.1839,1.1853142857
07/05/76 00:00,1.1874,1.1874,1.1874,1.1874,1.185525
10/05/76 00:00,1.1908,1.1908,1.1908,1.1908,1.1855892857
11/05/76 00:00,1.1874,1.1874,1.1874,1.1874,1.1847892857
12/05/76 00:00,1.1839,1.1839,1.1839,1.1839,1.1818285714
13/05/76 00:00,1.1839,1.1839,1.1839,1.1839,1.1796821429
14/05/76 00:00,1.1815,1.1815,1.1815,1.1815,1.1786107143
