Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,CMA
26/10/1928,21.65,21.65,21.65,21.65,21.8064285714
29/10/1928,22,22,22,22,21.8417857143
30/10/1928,21.76,21.76,21.76,21.76,21.8657142857
31/10/1928,21.68,21.68,21.68,21.68,21.9635714286
01/11/1928,21.99,21.99,21.99,21.99,22.1146428571
02/11/1928,21.95,21.95,21.95,21.95,22.2078571429
05/11/1928,22.24,22.24,22.24,22.24,22.3271428571
06/11/1928,22.5,22.5,22.5,22.5,22.4907142857
08/11/1928,22.39,22.39,22.39,22.39,22.6303571429
09/11/1928,22.55,22.55,22.55,22.55,22.7371428571
12/11/1928,22.84,22.84,22.84,22.84,22.8396428571
13/11/1928,22.91,22.91,22.91,22.91,22.9989285714
14/11/1928,22.91,22.91,22.91,22.91,23.1271428571
15/11/1928,23.03,23.03,23.03,23.03,23.2703571429
16/11/1928,23.37,23.37,23.37,23.37,23.2896428571
19/11/1928,23.37,23.37,23.37,23.37,23.3703571429
20/11/1928,23.57,23.57,23.57,23.57,23.4742857143
21/11/1928,23.22,23.22,23.22,23.22,23.575
22/11/1928,23.52,23.52,23.52,23.52,23.6757142857
23/11/1928,23.7,23.7,23.7,23.7,23.8271428571
26/11/1928,23.8,23.8,23.8,23.8,23.9717857143
27/11/1928,23.91,23.91,23.91,23.91,23.9835714286
28/11/1928,24.19,24.19,24.19,24.19,23.9878571429
30/11/1928,24.28,24.28,24.28,24.28,23.9532142857
03/12/1928,23.85,23.85,23.85,23.85,23.6896428571
04/12/1928,23.91,23.91,23.91,23.91,23.3203571429
05/12/1928,23.81,23.81,23.81,23.81,22.9939285714
06/12/1928,22.91,22.91,22.91,22.91,22.8421428571
07/12/1928,22.36,22.36,22.36,22.36,22.6903571429
10/12/1928,22.31,22.31,22.31,22.31,22.5760714286
11/12/1928,22.74,22.74,22.74,22.74,22.5253571429
12/12/1928,22.52,22.52,22.52,22.52,22.4978571429
13/12/1928,22.48,22.48,22.48,22.48,22.5521428571
14/12/1928,22.53,22.53,22.53,22.53,22.6642857143
17/12/1928,22.44,22.44,22.44,22.44,22.775
18/12/1928,22.7,22.7,22.7,22.7,22.9389285714
19/12/1928,22.98,22.98,22.98,22.98,23.1264285714
20/12/1928,23.07,23.07,23.07,23.07,23.2510714286
21/12/1928,23.33,23.33,23.33,23.33,23.3932142857
24/12/1928,23.54,23.54,23.54,23.54,23.5775
26/12/1928,23.44,23.44,23.44,23.44,23.8085714286
27/12/1928,23.64,23.64,23.64,23.64,24.1057142857
28/12/1928,23.98,23.98,23.98,23.98,24.3532142857
31/12/1928,24.35,24.35,24.35,24.35,24.5435714286
02/01/1929,24.81,24.81,24.81,24.81,24.5371428571
03/01/1929,24.86,24.86,24.86,24.86,24.4817857143
04/01/1929,24.85,24.85,24.85,24.85,24.5
